Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Trimestre (Código),Trimestre,Variável (Código),Variável,Finalidade da produção (Código),Finalidade da produção,Referência temporal (Código),Referência temporal
3,Unidade da Federação,1020,Unidades,655,35,São Paulo,199203,3º trimestre 1992,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,28111011,35,São Paulo,199203,3º trimestre 1992,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,146152,35,São Paulo,199203,3º trimestre 1992,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,646,35,São Paulo,199204,4º trimestre 1992,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,27770948,35,São Paulo,199204,4º trimestre 1992,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,145028,35,São Paulo,199204,4º trimestre 1992,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,632,35,São Paulo,199301,1º trimestre 1993,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,27291148,35,São Paulo,199301,1º trimestre 1993,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,141511,35,São Paulo,199301,1º trimestre 1993,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,634,35,São Paulo,199302,2º trimestre 1993,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,27780616,35,São Paulo,199302,2º trimestre 1993,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,143745,35,São Paulo,199302,2º trimestre 1993,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,637,35,São Paulo,199303,3º trimestre 1993,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,28326307,35,São Paulo,199303,3º trimestre 1993,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,144858,35,São Paulo,199303,3º trimestre 1993,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,626,35,São Paulo,199304,4º trimestre 1993,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,27443056,35,São Paulo,199304,4º trimestre 1993,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,144552,35,São Paulo,199304,4º trimestre 1993,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,620,35,São Paulo,199401,1º trimestre 1994,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,27749979,35,São Paulo,199401,1º trimestre 1994,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,142476,35,São Paulo,199401,1º trimestre 1994,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,617,35,São Paulo,199402,2º trimestre 1994,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,28286069,35,São Paulo,199402,2º trimestre 1994,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,146450,35,São Paulo,199402,2º trimestre 1994,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,611,35,São Paulo,199403,3º trimestre 1994,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,28248911,35,São Paulo,199403,3º trimestre 1994,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,147344,35,São Paulo,199403,3º trimestre 1994,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,606,35,São Paulo,199404,4º trimestre 1994,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,27902953,35,São Paulo,199404,4º trimestre 1994,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,149129,35,São Paulo,199404,4º trimestre 1994,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,611,35,São Paulo,199501,1º trimestre 1995,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,28478193,35,São Paulo,199501,1º trimestre 1995,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,147107,35,São Paulo,199501,1º trimestre 1995,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,609,35,São Paulo,199502,2º trimestre 1995,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,28874163,35,São Paulo,199502,2º trimestre 1995,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,151081,35,São Paulo,199502,2º trimestre 1995,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,604,35,São Paulo,199503,3º trimestre 1995,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,27966282,35,São Paulo,199503,3º trimestre 1995,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,150001,35,São Paulo,199503,3º trimestre 1995,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,596,35,São Paulo,199504,4º trimestre 1995,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,28482015,35,São Paulo,199504,4º trimestre 1995,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,148999,35,São Paulo,199504,4º trimestre 1995,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,585,35,São Paulo,199601,1º trimestre 1996,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,27903169,35,São Paulo,199601,1º trimestre 1996,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,138832,35,São Paulo,199601,1º trimestre 1996,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,582,35,São Paulo,199602,2º trimestre 1996,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,28471006,35,São Paulo,199602,2º trimestre 1996,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,149011,35,São Paulo,199602,2º trimestre 1996,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,573,35,São Paulo,199603,3º trimestre 1996,151,Número de informantes,72208,Total,115236,Total do trimestre
