Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Trimestre (Código),Trimestre,Variável (Código),Variável,Finalidade da produção (Código),Finalidade da produção,Referência temporal (Código),Referência temporal
3,Unidade da Federação,24,Cabeças,39009163,35,São Paulo,201404,4º trimestre 2014,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,215223,35,São Paulo,201404,4º trimestre 2014,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,385,35,São Paulo,201501,1º trimestre 2015,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,39463455,35,São Paulo,201501,1º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,208850,35,São Paulo,201501,1º trimestre 2015,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,382,35,São Paulo,201502,2º trimestre 2015,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,39830575,35,São Paulo,201502,2º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,212834,35,São Paulo,201502,2º trimestre 2015,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,380,35,São Paulo,201503,3º trimestre 2015,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,39908359,35,São Paulo,201503,3º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,221530,35,São Paulo,201503,3º trimestre 2015,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,380,35,São Paulo,201504,4º trimestre 2015,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,39573184,35,São Paulo,201504,4º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,221144,35,São Paulo,201504,4º trimestre 2015,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,382,35,São Paulo,201601,1º trimestre 2016,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,41258200,35,São Paulo,201601,1º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,225514,35,São Paulo,201601,1º trimestre 2016,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,373,35,São Paulo,201602,2º trimestre 2016,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,41500349,35,São Paulo,201602,2º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,224419,35,São Paulo,201602,2º trimestre 2016,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,363,35,São Paulo,201603,3º trimestre 2016,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,41308256,35,São Paulo,201603,3º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,230231,35,São Paulo,201603,3º trimestre 2016,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,356,35,São Paulo,201604,4º trimestre 2016,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,41441567,35,São Paulo,201604,4º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,234132,35,São Paulo,201604,4º trimestre 2016,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,360,35,São Paulo,201701,1º trimestre 2017,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,42369999,35,São Paulo,201701,1º trimestre 2017,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,233979,35,São Paulo,201701,1º trimestre 2017,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,372,35,São Paulo,201702,2º trimestre 2017,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,43673111,35,São Paulo,201702,2º trimestre 2017,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,244534,35,São Paulo,201702,2º trimestre 2017,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,372,35,São Paulo,201703,3º trimestre 2017,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,43855566,35,São Paulo,201703,3º trimestre 2017,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,248475,35,São Paulo,201703,3º trimestre 2017,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,376,35,São Paulo,201704,4º trimestre 2017,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,44977151,35,São Paulo,201704,4º trimestre 2017,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,254988,35,São Paulo,201704,4º trimestre 2017,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,378,35,São Paulo,201801,1º trimestre 2018,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,45501141,35,São Paulo,201801,1º trimestre 2018,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,252612,35,São Paulo,201801,1º trimestre 2018,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,378,35,São Paulo,201802,2º trimestre 2018,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,46697478,35,São Paulo,201802,2º trimestre 2018,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,254785,35,São Paulo,201802,2º trimestre 2018,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,380,35,São Paulo,201803,3º trimestre 2018,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,48317665,35,São Paulo,201803,3º trimestre 2018,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,274180,35,São Paulo,201803,3º trimestre 2018,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,373,35,São Paulo,201804,4º trimestre 2018,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,47728846,35,São Paulo,201804,4º trimestre 2018,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,275485,35,São Paulo,201804,4º trimestre 2018,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,367,35,São Paulo,201901,1º trimestre 2019,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,47386911,35,São Paulo,201901,1º trimestre 2019,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,267448,35,São Paulo,201901,1º trimestre 2019,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,379,35,São Paulo,201902,2º trimestre 2019,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,49521983,35,São Paulo,201902,2º trimestre 2019,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,277205,35,São Paulo,201902,2º trimestre 2019,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,391,35,São Paulo,201903,3º trimestre 2019,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,49903814,35,São Paulo,201903,3º trimestre 2019,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,282786,35,São Paulo,201903,3º trimestre 2019,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,398,35,São Paulo,201904,4º trimestre 2019,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,50007420,35,São Paulo,201904,4º trimestre 2019,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,288965,35,São Paulo,201904,4º trimestre 2019,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,395,35,São Paulo,202001,1º trimestre 2020,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,51033633,35,São Paulo,202001,1º trimestre 2020,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,286874,35,São Paulo,202001,1º trimestre 2020,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,386,35,São Paulo,202002,2º trimestre 2020,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,49565428,35,São Paulo,202002,2º trimestre 2020,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,282153,35,São Paulo,202002,2º trimestre 2020,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,384,35,São Paulo,202003,3º trimestre 2020,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,51789276,35,São Paulo,202003,3º trimestre 2020,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,295788,35,São Paulo,202003,3º trimestre 2020,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,376,35,São Paulo,202004,4º trimestre 2020,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,48836293,35,São Paulo,202004,4º trimestre 2020,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,277862,35,São Paulo,202004,4º trimestre 2020,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,367,35,São Paulo,202101,1º trimestre 2021,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,48835497,35,São Paulo,202101,1º trimestre 2021,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,271476,35,São Paulo,202101,1º trimestre 2021,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,364,35,São Paulo,202102,2º trimestre 2021,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,47820240,35,São Paulo,202102,2º trimestre 2021,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,271538,35,São Paulo,202102,2º trimestre 2021,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,361,35,São Paulo,202103,3º trimestre 2021,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,49358053,35,São Paulo,202103,3º trimestre 2021,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,283450,35,São Paulo,202103,3º trimestre 2021,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,361,35,São Paulo,202104,4º trimestre 2021,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,48320690,35,São Paulo,202104,4º trimestre 2021,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,275643,35,São Paulo,202104,4º trimestre 2021,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,359,35,São Paulo,202201,1º trimestre 2022,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,48020589,35,São Paulo,202201,1º trimestre 2022,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,267174,35,São Paulo,202201,1º trimestre 2022,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,366,35,São Paulo,202202,2º trimestre 2022,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,49586834,35,São Paulo,202202,2º trimestre 2022,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,274174,35,São Paulo,202202,2º trimestre 2022,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,365,35,São Paulo,202203,3º trimestre 2022,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,49236092,35,São Paulo,202203,3º trimestre 2022,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,279874,35,São Paulo,202203,3º trimestre 2022,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,362,35,São Paulo,202204,4º trimestre 2022,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,50044975,35,São Paulo,202204,4º trimestre 2022,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,282123,35,São Paulo,202204,4º trimestre 2022,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,354,35,São Paulo,202301,1º trimestre 2023,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,48563142,35,São Paulo,202301,1º trimestre 2023,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,269921,35,São Paulo,202301,1º trimestre 2023,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,354,35,São Paulo,202302,2º trimestre 2023,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,49942674,35,São Paulo,202302,2º trimestre 2023,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,278490,35,São Paulo,202302,2º trimestre 2023,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,347,35,São Paulo,202303,3º trimestre 2023,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,50441319,35,São Paulo,202303,3º trimestre 2023,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,291366,35,São Paulo,202303,3º trimestre 2023,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,354,35,São Paulo,202304,4º trimestre 2023,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,49472173,35,São Paulo,202304,4º trimestre 2023,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,283369,35,São Paulo,202304,4º trimestre 2023,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,358,35,São Paulo,202401,1º trimestre 2024,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,51296498,35,São Paulo,202401,1º trimestre 2024,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,290277,35,São Paulo,202401,1º trimestre 2024,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,356,35,São Paulo,202402,2º trimestre 2024,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,53133751,35,São Paulo,202402,2º trimestre 2024,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,305595,35,São Paulo,202402,2º trimestre 2024,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,358,35,São Paulo,202403,3º trimestre 2024,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,54241118,35,São Paulo,202403,3º trimestre 2024,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,312216,35,São Paulo,202403,3º trimestre 2024,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,354,35,São Paulo,202404,4º trimestre 2024,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,52928471,35,São Paulo,202404,4º trimestre 2024,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,308740,35,São Paulo,202404,4º trimestre 2024,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,352,35,São Paulo,202501,1º trimestre 2025,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,53213997,35,São Paulo,202501,1º trimestre 2025,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,304223,35,São Paulo,202501,1º trimestre 2025,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
